Seizure file	Match ID
UGA, 09-12, Xt	UGS01-UGS02
UGA, 09-12, Xt	UGS03
UGA, 09-12, Xt	UGS04
UGA, 09-12, Xt	UGS05-UGS09
UGA, 09-12, Xt	UGS06
UGA, 09-12, Xt	UGS07
UGA, 09-12, Xt	UGS10
UGA, 09-12, Xt	UGS11-UGS12
UGA, 09-12, Xt	UGS13
UGA, 09-12, Xt	UGS14
UGA, 09-12, Xt	UGS15
UGA, 09-12, Xt	UGS16-UGS17
UGA, 09-12, Xt	UGS19
UGA, 09-12, Xt	UGS20
UGA, 09-12, Xt	UGS21
UGA, 09-12, Xt	UGS22
UGA, 09-12, Xt	UGS23-UGS24
UGA, 09-12, Xt	UGS27-UGS28
UGA, 09-12, Xt	UGS29
UGA, 09-12, Xt	UGS30
UGA, 09-12, Xt	UGS31
UGA, 09-12, Xt	UGS32-UGS33
UGA, 09-12, Xt	UGS34-UGS35
LKA, 05-12, 1.5t	SL003
LKA, 05-12, 1.5t	SL007
LKA, 05-12, 1.5t	SL010
LKA, 05-12, 1.5t	SL013
LKA, 05-12, 1.5t	SL019
LKA, 05-12, 1.5t	SL021
LKA, 05-12, 1.5t	SL030
LKA, 05-12, 1.5t	SL032
LKA, 05-12, 1.5t	SL037
LKA, 05-12, 1.5t	SL038
LKA, 05-12, 1.5t	SL041
LKA, 05-12, 1.5t	SL045
LKA, 05-12, 1.5t	SL049
LKA, 05-12, 1.5t	SL052
LKA, 05-12, 1.5t	SL055
LKA, 05-12, 1.5t	SL056
LKA, 05-12, 1.5t	SL058
LKA, 05-12, 1.5t	SL062
LKA, 05-12, 1.5t	SL070
LKA, 05-12, 1.5t	SL072
LKA, 05-12, 1.5t	SL074
LKA, 05-12, 1.5t	SL075
LKA, 05-12, 1.5t	SL076
LKA, 05-12, 1.5t	SL077
LKA, 05-12, 1.5t	SL079
LKA, 05-12, 1.5t	SL080
LKA, 05-12, 1.5t	SL087
LKA, 05-12, 1.5t	SL089
LKA, 05-12, 1.5t	SL095
LKA, 05-12, 1.5t	SL096
LKA, 05-12, 1.5t	SL097
LKA, 05-12, 1.5t	SL106-SL280
LKA, 05-12, 1.5t	SL107
LKA, 05-12, 1.5t	SL109
LKA, 05-12, 1.5t	SL112
LKA, 05-12, 1.5t	SL113
LKA, 05-12, 1.5t	SL117
LKA, 05-12, 1.5t	SL120-SL198
LKA, 05-12, 1.5t	SL124
LKA, 05-12, 1.5t	SL126
LKA, 05-12, 1.5t	SL127
LKA, 05-12, 1.5t	SL128
LKA, 05-12, 1.5t	SL129
LKA, 05-12, 1.5t	SL130
LKA, 05-12, 1.5t	SL134
LKA, 05-12, 1.5t	SL135
LKA, 05-12, 1.5t	SL136
LKA, 05-12, 1.5t	SL137
LKA, 05-12, 1.5t	SL140
LKA, 05-12, 1.5t	SL142
LKA, 05-12, 1.5t	SL143
LKA, 05-12, 1.5t	SL145
LKA, 05-12, 1.5t	SL147
LKA, 05-12, 1.5t	SL150
LKA, 05-12, 1.5t	SL151
LKA, 05-12, 1.5t	SL152
LKA, 05-12, 1.5t	SL155
LKA, 05-12, 1.5t	SL156
LKA, 05-12, 1.5t	SL159
LKA, 05-12, 1.5t	SL161
LKA, 05-12, 1.5t	SL165
LKA, 05-12, 1.5t	SL167
LKA, 05-12, 1.5t	SL171
LKA, 05-12, 1.5t	SL174
LKA, 05-12, 1.5t	SL176
LKA, 05-12, 1.5t	SL177
LKA, 05-12, 1.5t	SL179
LKA, 05-12, 1.5t	SL180
LKA, 05-12, 1.5t	SL195
LKA, 05-12, 1.5t	SL199
LKA, 05-12, 1.5t	SL200
LKA, 05-12, 1.5t	SL205-SL237
LKA, 05-12, 1.5t	SL207
LKA, 05-12, 1.5t	SL215
LKA, 05-12, 1.5t	SL216
LKA, 05-12, 1.5t	SL223
LKA, 05-12, 1.5t	SL227
LKA, 05-12, 1.5t	SL228
LKA, 05-12, 1.5t	SL229
LKA, 05-12, 1.5t	SL230
LKA, 05-12, 1.5t	SL233
LKA, 05-12, 1.5t	SL236
LKA, 05-12, 1.5t	SL238
LKA, 05-12, 1.5t	SL239
LKA, 05-12, 1.5t	SL240
LKA, 05-12, 1.5t	SL245
LKA, 05-12, 1.5t	SL255
LKA, 05-12, 1.5t	SL256
LKA, 05-12, 1.5t	SL257
LKA, 05-12, 1.5t	SL260
LKA, 05-12, 1.5t	SL262
LKA, 05-12, 1.5t	SL264
LKA, 05-12, 1.5t	SL267
LKA, 05-12, 1.5t	SL268
LKA, 05-12, 1.5t	SL271
LKA, 05-12, 1.5t	SL272
LKA, 05-12, 1.5t	SL274
LKA, 05-12, 1.5t	SL276
LKA, 05-12, 1.5t	SL277
LKA, 05-12, 1.5t	SL282
LKA, 05-12, 1.5t	SL283
LKA, 05-12, 1.5t	SL288
LKA, 05-12, 1.5t	SL294
LKA, 05-12, 1.5t	SL295
LKA, 05-12, 1.5t	SL300-SL352
LKA, 05-12, 1.5t	SL303
LKA, 05-12, 1.5t	SL304
LKA, 05-12, 1.5t	SL305
LKA, 05-12, 1.5t	SL313
LKA, 05-12, 1.5t	SL314
LKA, 05-12, 1.5t	SL316
LKA, 05-12, 1.5t	SL318
LKA, 05-12, 1.5t	SL319
LKA, 05-12, 1.5t	SL322
LKA, 05-12, 1.5t	SL324
LKA, 05-12, 1.5t	SL326
LKA, 05-12, 1.5t	SL331
LKA, 05-12, 1.5t	SL333
LKA, 05-12, 1.5t	SL338
LKA, 05-12, 1.5t	SL339
LKA, 05-12, 1.5t	SL340
LKA, 05-12, 1.5t	SL347
LKA, 05-12, 1.5t	SL349
LKA, 05-12, 1.5t	SL351
LKA, 05-12, 1.5t	SL354
LKA, 05-12, 1.5t	SL359
HKG, 07-13, 2.0t	HKI006
HKG, 07-13, 2.0t	HKI010
HKG, 07-13, 2.0t	HKI011
HKG, 07-13, 2.0t	HKI013
HKG, 07-13, 2.0t	HKI016
HKG, 07-13, 2.0t	HKI024
HKG, 07-13, 2.0t	HKI031
HKG, 07-13, 2.0t	HKI033
HKG, 07-13, 2.0t	HKI035
HKG, 07-13, 2.0t	HKI040
HKG, 07-13, 2.0t	HKI046
HKG, 07-13, 2.0t	HKI051
HKG, 07-13, 2.0t	HKI056
HKG, 07-13, 2.0t	HKI057
HKG, 07-13, 2.0t	HKI071
HKG, 07-13, 2.0t	HKI074
HKG, 07-13, 2.0t	HKI076
HKG, 07-13, 2.0t	HKI081
HKG, 07-13, 2.0t	HKI082
HKG, 07-13, 2.0t	HKI091
HKG, 07-13, 2.0t	HKI102
HKG, 07-13, 2.0t	HKI104
HKG, 07-13, 2.0t	HKI105
HKG, 07-13, 2.0t	HKI106
HKG, 07-13, 2.0t	HKI112
HKG, 07-13, 2.0t	HKI115-HKI191
HKG, 07-13, 2.0t	HKI117
HKG, 07-13, 2.0t	HKI119
HKG, 07-13, 2.0t	HKI126
HKG, 07-13, 2.0t	HKI127
HKG, 07-13, 2.0t	HKI131
HKG, 07-13, 2.0t	HKI139
HKG, 07-13, 2.0t	HKI145
HKG, 07-13, 2.0t	HKI146
HKG, 07-13, 2.0t	HKI149
HKG, 07-13, 2.0t	HKI152
HKG, 07-13, 2.0t	HKI154
HKG, 07-13, 2.0t	HKI166
